CALL_NO,ENTRY_DATE,TIME_PERIOD,Year,ENTRY_TIME,CLOSE_TIME,PRIORITY,CALL_TYPE,1ST_UNIT,DISP,LOCATION,FULL_ADDRESS_CLEAN,Lat,Long,Accuracy Score
160890478,3/29/16,3,2016,6:23:36 AM,7:26:49 AM,C,915,3A12A,CIT,140 SUTTER ST,"140 SUTTER ST, SAN FRANCISCO, CA",37.790098,-122.402871,1
160890113,3/29/16,3,2016,1:06:31 AM,1:18:15 AM,C,915,3A12D,CIT,33 3RD ST,"33 3RD ST, SAN FRANCISCO, CA",37.787301,-122.403158,1
160890505,3/29/16,3,2016,6:40:37 AM,8:11:15 AM,C,915,3J11A,CIT,550 OFARRELL ST,"550 OFARRELL ST, SAN FRANCISCO, CA",37.785961,-122.413947,1
160891099,3/29/16,3,2016,9:51:42 AM,10:02:05 AM,C,915,3J72,CIT,390 TURK ST,"390 TURK ST, SAN FRANCISCO, CA",37.782749,-122.415268,1
160890434,3/29/16,3,2016,5:45:50 AM,5:56:27 AM,C,915,3J72,CIT,96 MCALLISTER ST,"96 MCALLISTER ST, SAN FRANCISCO, CA",37.78117,-122.413489,1
160891674,3/29/16,3,2016,12:10:49 PM,12:55:33 PM,C,915,3B70,CIT,457 MINNA ST,"457 MINNA ST, SAN FRANCISCO, CA",37.781107,-122.407157,1
160892082,3/29/16,3,2016,1:50:17 PM,2:23:26 PM,C,919,3F43B,CIT,556 ASHBURY ST,"556 ASHBURY ST, SAN FRANCISCO, CA",37.770239,-122.446685,1
160890610,3/29/16,3,2016,7:26:22 AM,7:31:22 AM,C,915,3F14A,CIT,PATOMAC & WALLER,"PATOMAC & WALLER, SAN FRANCISCO, CA",37.769892,-122.432522,0.9
160891070,3/29/16,3,2016,9:45:09 AM,9:54:53 AM,C,915,3F14A,CIT,HAIGHT ST/CLAYTON ST,"HAIGHT ST AND CLAYTON ST, SAN FRANCISCO, CA",37.769798,-122.448579,1
160890472,3/29/16,3,2016,6:16:02 AM,10:35:05 AM,C,919,3D11A,CIT,PROSPER ST/16TH ST,"PROSPER ST AND 16TH ST, SAN FRANCISCO, CA",37.7643335,-122.4316398,1
160891525,3/29/16,3,2016,11:37:53 AM,11:50:36 AM,C,919,3D11C,CIT,426 CASTRO ST,"426 CASTRO ST, SAN FRANCISCO, CA",37.762189,-122.435275,1
160890448,3/29/16,3,2016,5:59:13 AM,6:18:23 AM,C,915,3J72,CIT,150 FULTON ST,"150 FULTON ST, SAN FRANCISCO, CA",37.729785,-122.406443,0.9
160882087,3/28/16,3,2016,2:15:57 PM,2:24:02 PM,C,915,3A42B,CIT,15 ROMOLO ST,"15 ROMOLO ST, SAN FRANCISCO, CA",37.798232,-122.406364,1
160882817,3/28/16,3,2016,5:17:06 PM,6:23:52 PM,C,915,3A14D,CIT,DRUMM ST/JACKSON ST,"DRUMM ST AND JACKSON ST, SAN FRANCISCO, CA",37.7972391,-122.3972188,1
160880740,3/28/16,3,2016,7:57:57 AM,8:35:32 AM,C,919,3A71A,CIT,HYDE ST/CALIFORNIA ST,"HYDE ST AND CALIFORNIA ST, SAN FRANCISCO, CA",37.7910477,-122.4174239,0.8
160880685,3/28/16,3,2016,7:40:16 AM,7:41:42 AM,C,915,3J72,CIT,101 HYDE ST,"101 HYDE ST, SAN FRANCISCO, CA",37.781804,-122.415897,1
160880716,3/28/16,3,2016,7:50:42 AM,7:56:44 AM,C,915,3F1A,CIT,1881 HAYES ST,"1881 HAYES ST, SAN FRANCISCO, CA",37.773644,-122.447374,1
160881490,3/28/16,3,2016,11:34:45 AM,12:04:14 PM,C,915,3F43C,CIT,2041 OAK ST,"2041 OAK ST, SAN FRANCISCO, CA",37.770872,-122.452905,1
160882100,3/28/16,3,2016,2:18:33 PM,2:34:22 PM,C,919,3F44,CIT,1556 HAIGHT ST,"1556 HAIGHT ST, SAN FRANCISCO, CA",37.770166,-122.447941,1
160880966,3/28/16,3,2016,9:08:24 AM,9:18:26 AM,C,919,3F1A,CIT,430 FREDERICK ST,"430 FREDERICK ST, SAN FRANCISCO, CA",37.766748,-122.451021,1
160881707,3/28/16,3,2016,12:33:19 PM,1:12:19 PM,C,915,3C75,CIT,KIRKWOOD AV/RANKIN ST,"KIRKWOOD AV AND RANKIN ST, SAN FRANCISCO, CA",37.741346,-122.395574,1
160881258,3/28/16,3,2016,10:27:15 AM,10:41:00 AM,C,915,3J72,CIT,150 FULTON ST,"150 FULTON ST, SAN FRANCISCO, CA",37.729785,-122.406443,0.9
160872010,3/27/16,3,2016,2:17:01 PM,2:34:27 PM,C,915,3A44B,CIT,933 GRANT AV,"933 GRANT AV, SAN FRANCISCO, CA",37.795598,-122.406814,1
160872232,3/27/16,3,2016,3:11:07 PM,3:27:33 PM,C,915,3A12C,CIT,KEARNY ST/MERCHANT ST,"KEARNY ST AND MERCHANT ST, SAN FRANCISCO, CA",37.794021,-122.40471,0.91
160870684,3/27/16,3,2016,6:21:36 AM,7:17:42 AM,C,915,3E15A,CIT,1117 GEARY BL,"1117 GEARY BL, SAN FRANCISCO, CA",37.785378,-122.422191,1
160870886,3/27/16,3,2016,8:04:09 AM,8:39:57 AM,C,915,3F2A,CIT,529 WALLER ST,"529 WALLER ST, SAN FRANCISCO, CA",37.770684,-122.432371,1
160871317,3/27/16,3,2016,10:57:01 AM,11:01:40 AM,C,915,3H67,CIT,3391 MISSION ST W 1 SUFF,"3391 MISSION ST W 1 SUFF, SAN FRANCISCO, CA",37.742276,-122.421744,1
160870880,3/27/16,3,2016,8:00:54 AM,8:18:12 AM,C,915,3C13A,CIT,MENDELL PZ,"MENDELL PZ, SAN FRANCISCO, CA",37.7358647,-122.3892244,1
160862889,3/26/16,3,2016,6:08:56 PM,7:12:01 PM,C,915,3A13D,CIT,STEVENSON ST/2ND ST,"STEVENSON ST AND 2ND ST, SAN FRANCISCO, CA",37.788815,-122.400812,1
160860807,3/26/16,3,2016,8:13:29 AM,8:19:56 AM,C,915,3G68,CIT,LAKE ST/25TH AV,"LAKE ST AND 25TH AV, SAN FRANCISCO, CA",37.785745,-122.485148,1
160860837,3/26/16,3,2016,8:25:15 AM,8:28:22 AM,C,915,3J90A,CIT,400 BLK LEAVENWORTH ST,"400 LEAVENWORTH ST, SAN FRANCISCO, CA",37.784506,-122.41443,1
