CALL_NO,ENTRY_DATE,TIME_PERIOD,Year,ENTRY_TIME,CLOSE_TIME,PRIORITY,CALL_TYPE,1ST_UNIT,DISP,LOCATION,FULL_ADDRESS_CLEAN,Lat,Long,Accuracy Score,count,mod
160891099,3/29/16,3,2016,9:51:42 AM,10:02:05 AM,C,915,3J72,CIT,390 TURK ST,"390 TURK ST, SAN FRANCISCO, CA",37.782749,-122.415268,1,2,0
160890610,3/29/16,3,2016,7:26:22 AM,7:31:22 AM,C,915,3F14A,CIT,PATOMAC & WALLER,"PATOMAC & WALLER, SAN FRANCISCO, CA",37.769892,-122.432522,0.9,4,0
160890448,3/29/16,3,2016,5:59:13 AM,6:18:23 AM,C,915,3J72,CIT,150 FULTON ST,"150 FULTON ST, SAN FRANCISCO, CA",37.729785,-122.406443,0.9,6,0
160880685,3/28/16,3,2016,7:40:16 AM,7:41:42 AM,C,915,3J72,CIT,101 HYDE ST,"101 HYDE ST, SAN FRANCISCO, CA",37.781804,-122.415897,1,8,0
160880966,3/28/16,3,2016,9:08:24 AM,9:18:26 AM,C,919,3F1A,CIT,430 FREDERICK ST,"430 FREDERICK ST, SAN FRANCISCO, CA",37.766748,-122.451021,1,10,0
160872232,3/27/16,3,2016,3:11:07 PM,3:27:33 PM,C,915,3A12C,CIT,KEARNY ST/MERCHANT ST,"KEARNY ST AND MERCHANT ST, SAN FRANCISCO, CA",37.794021,-122.40471,0.91,12,0
160870880,3/27/16,3,2016,8:00:54 AM,8:18:12 AM,C,915,3C13A,CIT,MENDELL PZ,"MENDELL PZ, SAN FRANCISCO, CA",37.7358647,-122.3892244,1,14,0
160860691,3/26/16,3,2016,7:08:22 AM,7:37:55 AM,C,915,3J90A,CIT,500 BLK EDDY ST,"500 EDDY ST, SAN FRANCISCO, CA",37.783365,-122.415883,1,16,0
160860608,3/26/16,3,2016,6:03:41 AM,6:10:07 AM,C,915,3J90A,CIT,1182 MARKET ST,"1182 MARKET ST, SAN FRANCISCO, CA",37.779332,-122.414653,1,18,0
160852261,3/25/16,3,2016,2:53:02 PM,3:00:46 PM,C,915,3J12A,CIT,357 ELLIS ST,"357 ELLIS ST, SAN FRANCISCO, CA",37.784676,-122.412045,1,20,0
160850510,3/25/16,3,2016,6:03:50 AM,6:09:28 AM,C,915,3J90A,CIT,30 GROVE ST,"30 GROVE ST, SAN FRANCISCO, CA",37.779159,-122.415808,1,22,0
160840461,3/24/16,3,2016,6:04:16 AM,6:15:27 AM,C,915,3J90A,CIT,1182 MARKET ST,"1182 MARKET ST, SAN FRANCISCO, CA",37.779332,-122.414653,1,24,0
160842433,3/24/16,3,2016,3:02:35 PM,5:33:09 PM,C,915,3B12D,ARR,BESSIE CARMICHAEL MS,"BESSIE CARMICHAEL MS, SAN FRANCISCO, CA",37.7749295,-122.4194155,1,26,0
160830617,3/23/16,3,2016,7:30:22 AM,8:13:26 AM,C,915,3A70A,CIT,445 GEARY ST,"445 GEARY ST, SAN FRANCISCO, CA",37.786773,-122.410581,1,28,0
160830500,3/23/16,3,2016,6:36:28 AM,6:50:12 AM,C,915,3J72,CIT,MARKET ST/8TH ST,"MARKET ST AND 8TH ST, SAN FRANCISCO, CA",37.778718,-122.41474,1,30,0
160830659,3/23/16,3,2016,7:42:21 AM,5:02:44 PM,C,915,3B45,CIT,HARRISON ST/11TH ST,"HARRISON ST AND 11TH ST, SAN FRANCISCO, CA",37.77063,-122.41248,1,32,0
160820716,3/22/16,3,2016,8:29:36 AM,8:44:37 AM,C,915,3J72,CIT,357 ELLIS ST,"357 ELLIS ST, SAN FRANCISCO, CA",37.784676,-122.412045,1,34,0
160820380,3/22/16,3,2016,5:35:43 AM,5:39:23 AM,C,915,3J72,CIT,TURK ST/HYDE ST,"TURK ST AND HYDE ST, SAN FRANCISCO, CA",37.782584,-122.415694,1,36,0
160820659,3/22/16,3,2016,8:09:09 AM,8:33:10 AM,C,915,3B70,CIT,DORE ST/FOLSOM ST,"DORE ST AND FOLSOM ST, SAN FRANCISCO, CA",37.773285,-122.412225,1,38,0
160822119,3/22/16,3,2016,2:19:57 PM,2:28:23 PM,C,915,3C75,CIT,1650 LA SALLE AV,"1650 LA SALLE AV, SAN FRANCISCO, CA",37.737265,-122.389486,1,40,0
160811977,3/21/16,3,2016,1:58:20 PM,3:30:23 PM,C,915,3E13C,CIT,FERN ST/POLK ST,"FERN ST AND POLK ST, SAN FRANCISCO, CA",37.788222,-122.42021,1,42,0
160810568,3/21/16,3,2016,7:21:46 AM,7:32:47 AM,C,915,3F4A,CIT,1833 PAGE ST,"1833 PAGE ST, SAN FRANCISCO, CA",37.770136,-122.451001,1,44,0
