CaseID,Opened,Year,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Lat,Long,Point,count,mod
5042094,8/28/15 10:02,2015,9/8/15 7:14,9/8/15 7:14,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BAY SHORE BLVD and SUNNYDALE AVE,10,Little Hollywood,37.70885355,-122.4051094,"(37.7088535480061, -122.405109415055)",2,0
4349482,12/31/14 11:02,2014,1/2/15 14:21,1/2/15 14:21,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of HURON AVE and SICKLES AVE,11,Outer Mission,37.70916684,-122.4532493,"(37.7091668411965, -122.453249273714)",4,0
4326370,12/22/14 16:34,2014,12/23/14 9:22,12/23/14 9:22,Closed,Case Completed - resolved: done,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of HURON AVE and SICKLES AVE,11,Outer Mission,37.70916684,-122.4532493,"(37.7091668411965, -122.453249273714)",6,0
3796019,7/3/14 15:20,2014,7/4/14 7:10,7/4/14 7:10,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of ELLINGTON AVE and FARRAGUT AVE,11,Outer Mission,37.71006932,-122.449463,"(37.7100693190924, -122.449462967659)",8,0
3247282,1/8/14 10:46,2014,1/8/14 13:47,1/8/14 13:47,Closed,Case Completed - resolved: WASTE NOT FOUND,Recology_Abandoned,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of WINDING WAY and PRAGUE ST,11,Crocker Amazon,37.7100704,-122.4386799,"(37.7100703980593, -122.438679888921)",10,0
5456539,1/12/16 9:01,2016,1/13/16 11:07,1/13/16 11:07,Closed,Case Completed - resolved: Completed by zone personnel and district packer.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of ALEMANY BLVD and CRYSTAL ST,11,Outer Mission,37.71032208,-122.4604824,"(37.7103220844926, -122.460482356971)",12,0
4466556,2/6/15 13:56,2015,2/7/15 1:48,2/7/15 1:48,Closed,Case Completed - resolved: 10/98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of DE WOLF ST and ALEMANY BLVD,11,Outer Mission,37.7106845,-122.4544108,"(37.7106845002993, -122.454410832493)",14,0
5048280,8/30/15 14:09,2015,8/31/15 7:31,8/31/15 7:31,Closed,Case Completed - resolved: done,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"3062 ALEMANY BLVD, SAN FRANCISCO, CA, 94112",11,Outer Mission,37.71093043,-122.4540653,"(37.710930429128, -122.454065310264)",16,0
3230725,1/3/14 16:34,2014,1/4/14 14:02,1/4/14 14:02,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"500 ELLINGTON AVE, SAN FRANCISCO, CA, 94112",11,Outer Mission,37.71110257,-122.4483195,"(37.711102574057, -122.448319522062)",18,0
5839953,5/6/16 15:52,2016,5/6/16 17:58,5/6/16 17:58,Closed,Case Resolved - Advised SFPD,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and SAGAMORE ST,11,Merced Heights,37.71142239,-122.46303,"(37.7114223914141, -122.463030001998)",20,0
4777572,5/26/15 17:27,2015,5/26/15 22:23,5/26/15 22:23,Closed,Case Completed - resolved: done,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of SAN JOSE AVE and SAGAMORE ST,11,Oceanview,37.71147662,-122.4555921,"(37.7114766222255, -122.455592079125)",22,0
5454638,1/11/16 15:20,2016,1/12/16 1:57,1/12/16 1:57,Closed,Case Completed - resolved: done,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of SAN JOSE AVE and SAGAMORE ST,11,Oceanview,37.71147662,-122.4555921,"(37.7114766222255, -122.455592079125)",24,0
5780642,4/19/16 23:29,2016,4/20/16 6:11,4/20/16 6:11,Closed,Case Resolved - Advised SFPD,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of SAN JOSE AVE and I-280 S OFF RAMP,11,Oceanview,37.71190116,-122.4550877,"(37.7119011610577, -122.455087694211)",26,0
5791138,4/22/16 16:46,2016,4/22/16 18:14,4/22/16 18:14,Closed,Case Resolved - Advised SFPD,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of I-280 S OFF RAMP and SAN JOSE AVE,11,Oceanview,37.71190117,-122.455088,"(37.711901168, -122.45508804)",28,0
5663321,3/14/16 12:48,2016,3/14/16 14:15,3/14/16 14:15,Closed,Case Resolved - close incomplete address - need cross street,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of LAWRENCE AVE and END,11,Oceanview,37.71206753,-122.4542,"(37.7120675256202, -122.454199963347)",30,0
2114115,3/11/13 11:49,2013,4/3/13 11:16,4/3/13 11:16,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"Brotherhood & Chester Mini Park,  501 BROTHERHOOD WAY, SAN FRANCISCO, CA, 94132",7,Merced Heights,37.71238226,-122.4699035,"(37.712382263, -122.4699035)",32,0
5727401,4/4/16 9:56,2016,4/6/16 6:11,4/6/16 6:11,Closed,Case Resolved - 160951827,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and ARCH ST,11,Merced Heights,37.71242187,-122.4670726,"(37.7124218702048, -122.467072631897)",34,0
5689285,3/22/16 12:27,2016,3/23/16 12:45,3/23/16 12:45,Closed,Case Resolved - 10-98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and ARCH ST,11,Merced Heights,37.71242187,-122.4670726,"(37.7124218702048, -122.467072631897)",36,0
4773527,5/25/15 11:21,2015,5/26/15 10:45,5/26/15 10:45,Closed,Case Completed - resolved: Removed Homeless encampment and litter picked entire area from Sadowa past Arch.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and ARCH ST,11,Merced Heights,37.71242187,-122.4670726,"(37.7124218702048, -122.467072631897)",38,0
2121308,3/13/13 8:48,2013,3/13/13 15:02,3/13/13 15:02,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and JUNIPERO SERRA BLVD ON RAMP,7,Merced Heights,37.7127044,-122.4705811,"(37.7127043979853, -122.470581148102)",40,0
2170043,3/25/13 20:52,2013,3/26/13 15:18,3/26/13 15:18,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and JUNIPERO SERRA BLVD OFF RAMP,11,Merced Heights,37.71280655,-122.4708951,"(37.7128065524716, -122.470895060265)",42,0
2092284,3/5/13 15:36,2013,3/7/13 7:18,3/7/13 7:18,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and CHUMASERO DR,7,Lakeshore,37.71292735,-122.4727371,"(37.7129273477669, -122.472737136927)",44,0
5839994,5/6/16 15:58,2016,5/10/16 9:06,5/10/16 9:06,Closed,Case Resolved -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and CHUMASERO DR,7,Lakeshore,37.71292735,-122.4727371,"(37.7129273477669, -122.472737136927)",46,0
5812131,4/29/16 7:47,2016,4/29/16 9:15,4/29/16 9:15,Closed,Case Resolved - Private property(  told  by Lp  call Health Dept),DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"56 SAINT CHARLES AVE, SAN FRANCISCO, CA, 94132",11,Merced Heights,37.71312545,-122.4693679,"(37.713125451848, -122.469367928305)",48,0
