CaseID,Opened,YearOpened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,CategoryGroup,CategoryID,Request Type,Request Details,Address,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source
1033535,12/31/11 17:37,2011,1/3/12 15:12,1/3/12 15:12,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of JONES ST and OFARRELL ST,6,Tenderloin,TENDERLOIN,37.78579,-122.413,"(37.7857894780344, -122.412969527981)",Voice In
1033534,12/31/11 17:36,2011,1/3/12 15:12,1/3/12 15:12,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of EDDY ST and LEAVENWORTH ST,6,Tenderloin,TENDERLOIN,37.78372,-122.4142,"(37.7837237595403, -122.414241564993)",Voice In
1033533,12/31/11 17:34,2011,1/3/12 14:07,1/3/12 14:07,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"335 HYDE ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,TENDERLOIN,37.78394,-122.4161,"(37.783936740694, -122.416100263646)",Voice In
1033508,12/31/11 16:46,2011,1/3/12 16:07,1/3/12 16:07,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1144 MASONIC AVE, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,PARK,37.77057,-122.4452,"(37.770565876374, -122.445202030553)",Voice In
1033481,12/31/11 15:55,2011,1/3/12 14:07,1/3/12 14:07,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"982 MARKET ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78259,-122.4102,"(37.782590245692, -122.410222210159)",Voice In
1033452,12/31/11 15:08,2011,1/3/12 14:07,1/3/12 14:07,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of 5TH ST and BLUXOME ST,6,South of Market,SOUTHERN,37.77594,-122.398,"(37.7759411609503, -122.39796943063)",Voice In
1033451,12/31/11 15:07,2011,12/31/11 16:22,12/31/11 16:22,Closed,Case Resolved - RPD Park Patrol Supervisor advised.,RPD Park Patrol Queue,Rec and Park Requests,Encampment,encampment,Park - Park_Patrol,Illegal_Encampment,"Youngblood-Coleman Playground, 1398 HUDSON ST, SAN FRANCISCO, CA, 94124",10,Bayview,BAYVIEW,37.73877,-122.3845,"(37.738768033, -122.3845016)",Voice In
1033381,12/31/11 13:25,2011,1/3/12 14:07,1/3/12 14:07,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"344 JONES ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.7845,-122.4126,"(37.784495976888, -122.412548635927)",Voice In
1033380,12/31/11 13:24,2011,1/3/12 16:07,1/3/12 16:07,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"78 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78146,-122.4137,"(37.781461191441, -122.413714253126)",Voice In
1033379,12/31/11 13:23,2011,1/3/12 14:07,1/3/12 14:07,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"415 JONES ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78511,-122.413,"(37.785107133893, -122.412968858606)",Voice In
1033378,12/31/11 13:22,2011,1/3/12 14:07,1/3/12 14:07,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of OFARRELL ST and TAYLOR ST,6,Tenderloin,TENDERLOIN,37.786,-122.4113,"(37.7859963361182, -122.411325601535)",Voice In
