Year,Lat,Long,Source
2016,37.708851954910,-122.455029081243,311
2015,37.708853548006,-122.405109415055,311
2015,37.708929899694,-122.453716748626,311
2014,37.709166841197,-122.453249273714,311
2015,37.709166841197,-122.453249273714,311
2014,37.709166841197,-122.453249273714,311
2014,37.710069319092,-122.449462967659,311
2014,37.710069319092,-122.449462967659,311
2014,37.710069319092,-122.449462967659,311
2014,37.710070398059,-122.438679888921,311
2014,37.710322084493,-122.460482356971,311
2016,37.710322084493,-122.460482356971,311
2016,37.710322084493,-122.460482356971,311
2015,37.710684500299,-122.454410832493,311
2016,37.710731810000,-122.418772173000,311
2015,37.710930429128,-122.454065310264,311
2016,37.711025504492,-122.453857588443,311
2014,37.711102574057,-122.448319522062,311
2015,37.711318568867,-122.485383387800,311
2016,37.711422391414,-122.463030001998,311
2014,37.711422391414,-122.463030001998,311
2015,37.711476622226,-122.455592079125,311
2015,37.711476622226,-122.455592079125,311
2016,37.711476622226,-122.455592079125,311
2013,37.711627069756,-122.427422127469,311
2016,37.711901161058,-122.455087694211,311
2016,37.711901168000,-122.455088040000,311
2016,37.711901168000,-122.455088040000,311
2014,37.712048278910,-122.469249956072,311
2016,37.712067525620,-122.454199963347,311
2013,37.712179516831,-122.402459578750,311
2013,37.712382263000,-122.469903500000,311
2013,37.712382263000,-122.469903500000,311
2016,37.712421870205,-122.467072631897,311
2016,37.712421870205,-122.467072631897,311
2016,37.712421870205,-122.467072631897,311
2016,37.712421870205,-122.467072631897,311
2015,37.712421870205,-122.467072631897,311
2014,37.712421870205,-122.467072631897,311
2013,37.712704397985,-122.470581148102,311
2013,37.712781257926,-122.469993281195,311
2013,37.712806552472,-122.470895060265,311
2013,37.712806552472,-122.470895060265,311
2013,37.712927347767,-122.472737136927,311
2016,37.712927347767,-122.472737136927,311
2016,37.712927347767,-122.472737136927,311
2015,37.713069735015,-122.436803230630,311
2016,37.713125451848,-122.469367928305,311
2016,37.713125451848,-122.469367928305,311
2015,37.713315919297,-122.397657779828,311
2014,37.713443368674,-122.470325793861,311
2015,37.713549705056,-122.436641988877,311
2016,37.713811878196,-122.469322450716,311
2013,37.714277356675,-122.470463784106,311
2015,37.714281621011,-122.469798253021,311
2015,37.714281621011,-122.469798253021,311
2015,37.714412633466,-122.398211715337,311
2013,37.714420840264,-122.463986210953,311
2014,37.714420840264,-122.463986210953,311
2013,37.714420840264,-122.463986210953,311
2016,37.714687513273,-122.443387393974,311
2015,37.714694467079,-122.485229080439,311
2015,37.714694467079,-122.485229080439,311
2013,37.714904559344,-122.456071969218,311
2015,37.714959037173,-122.470267651265,311
2015,37.715032852382,-122.434108752731,311
2015,37.715087369000,-122.398837531000,311
2013,37.715132344000,-122.392270400000,311
2015,37.715132344000,-122.392270400000,311
2015,37.715324635784,-122.399112753667,311
2015,37.715604359000,-122.484621266000,311
2015,37.715672415204,-122.439438395667,311
2013,37.715770242000,-122.457570600000,311
