PROPERTY_ADDRESS,FULL_ADDRESS,NAME,SuppHsg,DBI_VIOLATIONS,Lat,Long
505 26th AV,505 26th Av,NA,No,242,37.779731,-122.485978
74 6th ST,74 6th St,*Baldwin Hotel,No,175,37.781048,-122.409359
131 HUGO ST,131 Hugo St,NA,No,159,37.765046,-122.459444
106 6th ST,106 6th St,*Henry Hotel,No,153,37.78063,-122.408662
2524 LOMBArd ST,2524 Lombard St,Bridge Motel,No,140,37.79925,-122.443332
445 OFARRELL ST,445 O'Farrell St,*Winton Hotel,No,135,37.785642,-122.411958
20 12th ST,20 12th St,*Civic Center Hotel,No,126,37.773915,-122.420026
376 ELLIS ST,376 Ellis St,NA,No,125,37.785206,-122.41238
2048 POLK ST,2048 Polk St,Broadway Hotel,No,108,37.795678,-122.421498
890 47th AV,890 47th Av,NA,No,80,37.771716,-122.5076
1751 MARKET ST,1751 Market St,NA,No,65,37.771875,-122.422866
2055 SACRAMENTO ST,2055 Sacramento St,NA,No,60,37.790484,-122.426645
1612 PALOU AV,1612 Palou Av,NA,No,59,37.734373,-122.391181
710 ELLIS ST,710 Ellis St,NA,No,56,37.784385,-122.41803
333 RANDOLPH ST,333 Randolph St,NA,No,53,37.714065,-122.465747
270 TURK ST,270 Turk St,NA,No,52,37.78314,-122.413606
138 HYDE ST,138 Hyde St,NA,No,52,37.782216,-122.415256
1430 LARKIN ST,1430 Larkin St,NA,No,52,37.791267,-122.418837
2072 MISSION ST,2072 Mission St,NA,No,50,37.763845,-122.419873
1449 POWELL ST,1449 Powell St,NA,No,48,37.797988,-122.410752
2612 FOLSOM ST,2612 Folsom St,NA,No,46,37.755365,-122.414705
421 ELLIS ST,421 Ellis St,NA,No,45,37.784674,-122.413016
1486 UNDERWOOD AV,1486 Underwood Av,NA,No,44,37.728777,-122.389531
941 SHOTWELL ST,941 Shotwell St,NA,No,44,37.753388,-122.414926
512 SHOTWELL ST,512 Shotwell St,NA,No,40,37.760104,-122.416218
964 HOWArd ST,964 Howard St,NA,No,40,37.780539,-122.406543
22 DAY ST,22 Day St,NA,No,40,37.743344,-122.423302
1016 SHOTWELL ST,1016 Shotwell St,NA,No,40,37.751789,-122.415423
555 EDDY ST,555 Eddy St,NA,No,40,37.783118,-122.416765
901 VALENCIA ST,901 Valencia St,NA,No,39,37.758351,-122.420958
250 POINT LOBOS AV,250 Point Lobos Av,NA,No,38,37.780185,-122.506019
25 SCOTLAND ST,25 Scotland St,NA,No,36,37.801734,-122.412604
54 AUBURN ST,54 Auburn St,NA,No,36,37.79599,-122.412387
1334 VAN NESS AV,1334 Van Ness Av,NA,No,36,37.788159,-122.421495
3500 MARKET ST,3500 Market St,NA,No,36,37.756414,-122.442229
2882 23rd ST,2882 23rd St,NA,No,36,37.75455,-122.410006
1941 MISSION ST,1941 Mission St,NA,No,35,37.766032,-122.419411
4733 MISSION ST,4733 Mission St,NA,No,35,37.7225,-122.436118
1408 CALIFORNIA ST,1408 California St,NA,No,35,37.791176,-122.417704
317 LEAVENWORth ST,317 Leavenworth St,NA,No,34,37.783914,-122.414465
1600 CLEMENT ST,1600 Clement St,NA,No,34,37.782578,-122.476647
634 POWELL ST,634 Powell St,NA,No,34,37.790747,-122.40859
1099 SOUth VAN NESS AV,1099 South Van Ness Av,NA,No,34,37.755716,-122.41635
47 SOUth PARK *,47 South Park,NA,No,34,37.781408,-122.393529
1424 POLK ST,1424 Polk St,NA,No,33,37.790064,-122.420324
915 DWIGHT ST,915 Dwight St,NA,No,33,37.721358,-122.411195
519 CAPP ST,519 Capp St,NA,No,32,37.757938,-122.417606
3747 JACKSON ST,3747 Jackson St,NA,No,32,37.789404,-122.456491
884 ALABAMA ST,884 Alabama St,NA,No,32,37.75781,-122.411645
719 NEWHALL ST,719 Newhall St,NA,No,32,37.739627,-122.388298
1272 MARKET ST,1272 Market St,NA,No,32,37.77811,-122.416059
570 5th AV,570 5th Av,NA,No,31,37.777888,-122.462654
2084 MISSION ST,2084 Mission St,NA,No,31,37.763744,-122.419863
324 BARTLETT ST,324 Bartlett St,NA,No,30,37.751261,-122.419773
402 BROADWAY *,402 Broadway,NA,No,30,37.798497,-122.404099
1041 VALENCIA ST,1041 Valencia St,NA,No,30,37.756307,-122.420706
1325 GREEN ST,1325 Green St,NA,No,30,37.797742,-122.420931
16 WALTER ST,16 Walter St,NA,No,30,37.768829,-122.432702
519 ELLIS ST,519 Ellis St,NA,No,29,37.784298,-122.415004
2420 VAN NESS AV,2420 Van Ness Av,NA,No,29,37.798005,-122.423434
1139 MARKET ST,1139 Market St,NA,No,29,37.779533,-122.413018
3192 24th ST,3192 24th St,NA,No,29,37.752517,-122.41597
35 RUSSIA AV,35 Russia Av,NA,No,29,37.72154,-122.436372
1139 GUERRERO ST,1139 Guerrero St,NA,No,28,37.753033,-122.422661
1018 MISSION ST,1018 Mission St,NA,No,28,37.780704,-122.409452
1431 OAK ST,1431 Oak St,NA,No,28,37.772178,-122.442919
683 BROADWAY *,683 Broadway,NA,No,28,37.797527,-122.408308
371 TURK ST,371 Turk St,NA,No,28,37.782426,-122.41511
373 ELLIS ST,373 Ellis St,Coronado Hotel,Yes,28,37.784646,-122.41228
1227 NEWHALL ST,1227 Newhall St,NA,No,28,37.736518,-122.391145
355 SERRANO DR,355 Serrano Dr,NA,No,28,37.718266,-122.480908
2200 LEAVENWORth ST,2200 Leavenworth St,NA,No,27,37.801491,-122.417479
28 CLARION AL,28 Clarion Al,NA,No,27,37.763079,-122.420173
6674 3rd ST,6674 3rd St,NA,No,27,37.718403,-122.398266
1090 PLYMOUth AV,1090 Plymouth Av,NA,No,27,37.721627,-122.455975
263 26th AV,263 26th Av,NA,No,27,37.78451,-122.486463
1312 UTAH ST,1312 Utah St,NA,No,27,37.752822,-122.405532
922 POST ST,922 Post St,NA,No,27,37.787477,-122.417095
1538 PALOU AV,1538 Palou Av,NA,No,27,37.73355,-122.389624
244 GUERRERO ST,244 Guerrero St,NA,No,27,37.767272,-122.424713
751 MADRID ST,751 Madrid St,NA,No,27,37.717579,-122.435515
5211 MISSION ST,5211 Mission St,NA,No,26,37.714986,-122.441854
558 BROADWAY *,558 Broadway,NA,No,26,37.798184,-122.406564
168 HYDE ST,168 Hyde St,NA,No,26,37.782383,-122.415447
1105 LARKIN ST,1105 Larkin St,NA,No,26,37.788195,-122.418734
69 HILL ST,69 Hill St,NA,No,26,37.755765,-122.422575
925 GEARY ST,925 Geary St,NA,No,26,37.785791,-122.418496
4734 MISSION ST,4734 Mission St,NA,No,26,37.722501,-122.436823
125 PALM AV,125 Palm Av,NA,No,26,37.783186,-122.458216
112 PFEIFFER ST,112 Pfeiffer St,NA,No,26,37.804918,-122.408718
1030 STEINER ST,1030 Steiner St,NA,No,26,37.778896,-122.433142
49 OLIVER ST,49 Oliver St,NA,No,26,37.709038,-122.449781
1216 FULTON ST,1216 Fulton St,NA,No,26,37.777243,-122.437409
270 PARKER AV,270 Parker Av,NA,No,26,37.780697,-122.453612
542 CLAYTON ST,542 Clayton St,NA,No,25,37.770199,-122.448365
2641 MISSION ST,2641 Mission St,NA,No,25,37.754801,-122.41833
280 OFARRELL ST,280 Ofarrell St,NA,No,25,37.786443,-122.409303
40 SYCAMORE ST,40 Sycamore St,NA,No,25,37.762842,-122.420355
570 OFARRELL ST,570 Ofarrell St,NA,No,25,37.785806,-122.414121
195 EUREKA ST,195 Eureka St,NA,No,25,37.759291,-122.437983
867 ALABAMA ST,867 Alabama St,NA,No,25,37.758051,-122.4112
