CaseID,Opened,Year,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Lat,Long,Point,count,mod
4349482,12/31/14 11:02,2014,1/2/15 14:21,1/2/15 14:21,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of HURON AVE and SICKLES AVE,11,Outer Mission,37.70916684,-122.4532493,"(37.7091668411965, -122.453249273714)",2,0
3796019,7/3/14 15:20,2014,7/4/14 7:10,7/4/14 7:10,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of ELLINGTON AVE and FARRAGUT AVE,11,Outer Mission,37.71006932,-122.449463,"(37.7100693190924, -122.449462967659)",4,0
5456539,1/12/16 9:01,2016,1/13/16 11:07,1/13/16 11:07,Closed,Case Completed - resolved: Completed by zone personnel and district packer.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of ALEMANY BLVD and CRYSTAL ST,11,Outer Mission,37.71032208,-122.4604824,"(37.7103220844926, -122.460482356971)",6,0
5048280,8/30/15 14:09,2015,8/31/15 7:31,8/31/15 7:31,Closed,Case Completed - resolved: done,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"3062 ALEMANY BLVD, SAN FRANCISCO, CA, 94112",11,Outer Mission,37.71093043,-122.4540653,"(37.710930429128, -122.454065310264)",8,0
5839953,5/6/16 15:52,2016,5/6/16 17:58,5/6/16 17:58,Closed,Case Resolved - Advised SFPD,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and SAGAMORE ST,11,Merced Heights,37.71142239,-122.46303,"(37.7114223914141, -122.463030001998)",10,0
5454638,1/11/16 15:20,2016,1/12/16 1:57,1/12/16 1:57,Closed,Case Completed - resolved: done,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of SAN JOSE AVE and SAGAMORE ST,11,Oceanview,37.71147662,-122.4555921,"(37.7114766222255, -122.455592079125)",12,0
5791138,4/22/16 16:46,2016,4/22/16 18:14,4/22/16 18:14,Closed,Case Resolved - Advised SFPD,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of I-280 S OFF RAMP and SAN JOSE AVE,11,Oceanview,37.71190117,-122.455088,"(37.711901168, -122.45508804)",14,0
2114115,3/11/13 11:49,2013,4/3/13 11:16,4/3/13 11:16,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"Brotherhood & Chester Mini Park,  501 BROTHERHOOD WAY, SAN FRANCISCO, CA, 94132",7,Merced Heights,37.71238226,-122.4699035,"(37.712382263, -122.4699035)",16,0
5689285,3/22/16 12:27,2016,3/23/16 12:45,3/23/16 12:45,Closed,Case Resolved - 10-98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and ARCH ST,11,Merced Heights,37.71242187,-122.4670726,"(37.7124218702048, -122.467072631897)",18,0
2121308,3/13/13 8:48,2013,3/13/13 15:02,3/13/13 15:02,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and JUNIPERO SERRA BLVD ON RAMP,7,Merced Heights,37.7127044,-122.4705811,"(37.7127043979853, -122.470581148102)",20,0
