coc_number,coc_name,total_homeless,population,homeless_per_100000,unsheltered_homeless_per_100000,"Sheltered Homeless, 2015",unsheltered_homeless,"Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
TX-700,Houston,4609,4441370,104,44,2659,1950,3366,1430,1936,1243,1229,14,600,57,543,591,48,543,9,9,0,563,339,224,325,148,177,29,19,10,296,129,167,33,32,1,1,1,0,32,31,1,50,47,3
AZ-502,Phoenix,5631,4087191,138,32,4342,1289,3529,2240,1289,2102,2102,0,480,222,258,443,185,258,37,37,0,419,319,100,380,284,96,54,54,0,326,230,96,111,111,0,0,0,0,111,111,0,122,122,0
CA-601,San Diego,8742,3263431,268,127,4586,4156,6761,2849,3912,1981,1737,244,1689,340,1349,1547,298,1249,142,42,100,1381,750,631,625,273,352,59,29,30,566,244,322,119,110,9,0,0,0,119,110,9,165,156,9
CA-602,Orange County,4452,3145515,142,70,2251,2201,3073,878,2195,1379,1373,6,580,133,447,558,111,447,22,22,0,447,91,356,184,79,105,15,13,2,169,66,103,43,43,0,0,0,0,43,43,0,50,50,0
CO-503,Denver,5335,2814313,190,26,4590,745,3039,2375,664,2296,2215,81,842,520,322,692,427,265,150,93,57,494,400,94,286,231,55,75,72,3,211,159,52,94,88,6,0,0,0,94,88,6,139,132,7
IL-510,Chicago,6786,2722407,249,75,4731,2055,4592,2558,2034,2194,2173,21,1066,389,677,1050,373,677,16,16,0,752,346,406,446,325,121,8,5,3,438,320,118,199,199,0,0,0,0,199,199,0,301,301,0
FL-600,Miami,4152,2662874,156,38,3145,1007,2720,1713,1007,1432,1432,0,526,174,352,486,134,352,40,40,0,236,213,23,150,139,11,11,11,0,139,128,11,48,48,0,0,0,0,48,48,0,88,88,0
TX-600,Dallas,3141,2518638,125,14,2778,363,2219,1863,356,922,915,7,615,451,164,586,422,164,29,29,0,291,242,49,157,134,23,22,22,0,135,112,23,47,47,0,1,1,0,46,46,0,55,55,0
CA-608,Riverside County,2372,2329271,102,64,884,1488,2066,604,1462,306,280,26,532,113,419,490,89,401,42,24,18,223,121,102,119,57,62,15,11,4,104,46,58,6,6,0,4,4,0,2,2,0,13,13,0
CA-609,San Bernardino County,2149,2112619,102,62,838,1311,1524,305,1219,625,533,92,564,77,487,498,34,464,66,43,23,176,31,145,179,65,114,22,15,7,157,50,107,20,15,5,0,0,0,20,15,5,35,28,7
WA-500,Seattle,10122,2079967,487,183,6319,3803,7053,3281,3772,3069,3038,31,823,472,351,812,461,351,11,11,0,608,499,109,701,313,388,42,11,31,659,302,357,140,140,0,5,5,0,135,135,0,149,149,0
NV-500,Las Vegas,7509,2069681,363,189,3593,3916,6878,2965,3913,631,628,3,458,38,420,455,35,420,3,3,0,692,375,317,2233,242,1991,825,9,816,1408,233,1175,41,41,0,4,4,0,37,37,0,63,63,0
CA-500,Santa Clara County,6556,1894605,346,244,1929,4627,5648,1084,4564,908,845,63,2207,189,2018,2169,184,1985,38,5,33,703,257,446,882,102,780,59,18,41,823,84,739,40,34,6,0,0,0,40,34,6,51,45,6
FL-601,Ft Lauderdale,2615,1869235,140,44,1796,819,2099,1304,795,516,492,24,444,141,303,427,135,292,17,6,11,247,137,110,191,156,35,41,40,1,150,116,34,13,13,0,0,0,0,13,13,0,23,23,0
TX-500,San Antonio,2891,1855866,156,62,1733,1158,2065,935,1130,826,798,28,691,351,340,632,320,312,59,31,28,284,190,94,133,50,83,6,3,3,127,47,80,16,14,2,0,0,0,16,14,2,24,19,5
CA-502,Oakland,4040,1610921,251,149,1643,2397,3055,902,2153,985,741,244,750,211,539,660,159,501,90,52,38,388,157,231,299,228,71,13,13,0,286,215,71,70,70,0,0,0,0,70,70,0,80,80,0
PA-500,Philadelphia,5998,1560297,384,43,5328,670,3346,2676,670,2652,2652,0,829,468,361,739,378,361,90,90,0,337,327,10,299,244,55,13,13,0,286,231,55,300,300,0,0,0,0,300,300,0,400,400,0
CA-503,Sacramento,2659,1482026,179,64,1711,948,1925,1014,911,734,697,37,502,184,318,466,153,313,36,31,5,313,171,142,246,96,150,7,3,4,239,93,146,60,60,0,0,0,0,60,60,0,74,74,0
HI-500,Hawaii,2717,1419561,191,134,813,1904,1744,334,1410,973,479,494,666,20,646,593,18,575,73,2,71,225,35,190,147,26,121,3,0,3,144,26,118,23,10,13,0,0,0,23,10,13,29,16,13
FL-605,Palm Beach,1421,1397710,102,59,596,825,1220,448,772,201,148,53,452,24,428,448,24,424,4,0,4,157,71,86,112,66,46,35,35,0,77,31,46,8,4,4,0,0,0,8,4,4,11,7,4
OH-502,Cleveland,1943,1259828,154,5,1875,68,1550,1482,68,393,393,0,217,179,38,215,177,38,2,2,0,326,308,18,85,82,3,0,0,0,85,82,3,27,27,0,0,0,0,27,27,0,54,54,0
