CaseID,Opened,YearOpened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,CategoryGroup,CategoryID,Request Type,Request Details,Address,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source
4351684,12/31/14 23:54,2014,1/1/15 2:32,1/1/15 2:32,Closed,Case Completed - resolved: 10-98 Eddie took care of safety concerns at this location.,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,Intersection of MARKET ST and SOUTH VAN NESS AVE,6,South of Market,SOUTHERN,37.77465,-122.4191,"(37.7751471409965, -122.419255494655)",Mobile/Open311
4351128,12/31/14 18:07,2014,1/1/15 11:30,1/1/15 11:30,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of FERN ST and VAN NESS AVE,2,Cathedral Hill,NORTHERN,37.788,-122.422,"(37.7880012977202, -122.421954886089)",Voice In
4351040,12/31/14 17:37,2014,1/2/15 15:35,1/2/15 15:35,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1369 STEVENSON ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.7705,-122.4215,"(37.770498209305, -122.421501147794)",Web Self Service
4350848,12/31/14 16:34,2014,1/2/15 14:26,1/2/15 14:26,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,Intersection of 18TH ST and SAN CARLOS ST,9,Mission,MISSION,37.76176,-122.42,"(37.7617892171553, -122.420128321734)",Mobile/Open311
4350775,12/31/14 16:07,2014,1/2/15 15:36,1/2/15 15:36,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"447 LINDEN ST, SAN FRANCISCO, CA, 94102",5,Hayes Valley,NORTHERN,37.77608,-122.4253,"(37.776030503913, -122.425283750004)",Mobile/Open311
4350771,12/31/14 16:06,2014,1/2/15 14:26,1/2/15 14:26,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of ALABAMA ST and 17TH ST,9,Mission,MISSION,37.76419,-122.4123,"(37.7641932415638, -122.412293308964)",Voice In
4350745,12/31/14 16:00,2014,1/2/15 15:36,1/2/15 15:36,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"60 OTIS ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77038,-122.4204,"(37.770379173987, -122.42038522123)",Voice In
4350619,12/31/14 15:26,2014,1/2/15 1:33,1/2/15 1:33,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,Intersection of RODGERS ST and FOLSOM ST,6,South of Market,SOUTHERN,37.77545,-122.4095,"(37.7754509013937, -122.409481340161)",Voice In
4350581,12/31/14 15:17,2014,1/2/15 15:36,1/2/15 15:36,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1356 STEVENSON ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77061,-122.4218,"(37.770610395336, -122.421810753363)",Web Self Service
4350514,12/31/14 15:04,2014,1/2/15 15:37,1/2/15 15:37,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1356 STEVENSON ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77061,-122.4218,"(37.770610395336, -122.421810753363)",Web Self Service
4350510,12/31/14 15:03,2014,1/2/15 15:37,1/2/15 15:37,Closed,Case Completed - resolved: sr made10-98,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,"184 LOCKSLEY AVE, SAN FRANCISCO, CA, 94122",7,Forest Knolls,PARK,37.75692,-122.4626,"(37.756919679223, -122.462634219046)",Voice In
4349482,12/31/14 11:02,2014,1/2/15 14:21,1/2/15 14:21,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of HURON AVE and SICKLES AVE,11,Outer Mission,INGLESIDE,37.70917,-122.4532,"(37.7091668411965, -122.453249273714)",Voice In
4349389,12/31/14 10:41,2014,12/31/14 12:48,12/31/14 12:48,Closed,Case Completed - resolved: n/f,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,Intersection of FELL ST and OCTAVIA ST,5,Hayes Valley,NORTHERN,37.77575,-122.4243,"(37.775753981863, -122.424324513404)",Voice In
4349350,12/31/14 10:32,2014,1/5/15 7:45,1/5/15 7:45,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"15 LAFAYETTE ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77328,-122.4175,"(37.773276649089, -122.417545540354)",Voice In
4349317,12/31/14 10:27,2014,1/2/15 15:40,1/2/15 15:40,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of FERN ST and VAN NESS AVE,2,Cathedral Hill,NORTHERN,37.788,-122.422,"(37.7880012977202, -122.421954886089)",Voice In
4349097,12/31/14 9:42,2014,1/2/15 15:37,1/2/15 15:37,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"121 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78324,-122.4141,"(37.783241056427, -122.414073932136)",Web Self Service
4349077,12/31/14 9:36,2014,1/2/15 3:40,1/2/15 3:40,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"421 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78502,-122.4146,"(37.785019300125, -122.414641884051)",Web Self Service
4349069,12/31/14 9:34,2014,1/2/15 1:10,1/2/15 1:10,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"441 ELLIS ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78465,-122.4135,"(37.784651109968, -122.413480434228)",Web Self Service
4349067,12/31/14 9:33,2014,12/31/14 15:39,12/31/14 15:39,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of SYCAMORE ST and MISSION ST,9,Mission,MISSION,37.76271,-122.4194,"(37.7627128979633, -122.419443567172)",Web Self Service
4349041,12/31/14 9:28,2014,1/4/15 6:49,1/4/15 6:49,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"201 JONES ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78555,-122.4131,"(37.785552119703, -122.413127853212)",Web Self Service
4348969,12/31/14 9:15,2014,12/31/14 15:39,12/31/14 15:39,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of OSAGE ALY and 24TH ST,9,Mission,MISSION,37.7522,-122.419,"(37.7522043370115, -122.419017432004)",Voice In
4348806,12/31/14 8:42,2014,12/31/14 9:52,12/31/14 9:52,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of GOLDEN GATE AVE and CONTINUUM WAY,6,Civic Center,TENDERLOIN,37.78154,-122.4142,"(37.7817591427414, -122.414683078848)",Voice In
