CaseID,Opened,YearOpened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,CategoryGroup,CategoryID,Request Type,Request Details,Address,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source
3220128,12/31/13 16:51,2013,1/2/14 15:11,1/2/14 15:11,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"3462 17TH ST, SAN FRANCISCO, CA, 94110",8,Mission Dolores,MISSION,37.76327,-122.4231,"(37.76345386091, -122.42318948519)",Voice In
3220061,12/31/13 16:33,2013,1/3/14 21:05,1/3/14 21:05,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"75 COLUMBIA SQUARE ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77698,-122.4053,"(37.776858032954, -122.405104892223)",Voice In
3219944,12/31/13 16:06,2013,12/31/13 22:03,12/31/13 22:03,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of CEDAR ST and LARKIN ST,6,Lower Nob Hill,CENTRAL,37.78657,-122.4182,"(37.7865659969802, -122.418178930836)",Voice In
3219939,12/31/13 16:06,2013,1/3/14 21:09,1/3/14 21:09,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of AHERN WAY and HARRIET ST,6,South of Market,SOUTHERN,37.77634,-122.404,"(37.776313217, -122.403958727)",Mobile/Open311
3219585,12/31/13 14:43,2013,12/31/13 22:03,12/31/13 22:03,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"39 MASON ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78297,-122.4131,"(37.784055852949, -122.409387916344)",Voice In
3219579,12/31/13 14:42,2013,12/31/13 22:03,12/31/13 22:03,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"156 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78297,-122.4131,"(37.783241056427, -122.414073932136)",Voice In
3219571,12/31/13 14:41,2013,12/31/13 22:03,12/31/13 22:03,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"242 TURK ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78297,-122.4131,"(37.783029393432, -122.413069011945)",Voice In
3219563,12/31/13 14:39,2013,12/31/13 22:02,12/31/13 22:02,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"421 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78297,-122.4131,"(37.785019300125, -122.414641884051)",Voice In
3219556,12/31/13 14:38,2013,12/31/13 22:03,12/31/13 22:03,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1000 MARKET ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78297,-122.4131,"(37.782035400692, -122.410924131564)",Voice In
3219547,12/31/13 14:37,2013,12/31/13 22:03,12/31/13 22:03,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"240 TURK ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78297,-122.4131,"(37.783373805941, -122.41318826665)",Voice In
