CaseID,Opened,YearOpened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
798513,01/02/2011 02:34:37 PM,2011,01/02/2011 06:09:21 PM,01/02/2011 06:09:21 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of OAK ST and OCTAVIA ST,5,Hayes Valley,NORTHERN,37.77483,-122.4241,"(37.774824748193, -122.424136402069)",Voice In,
799552,01/04/2011 06:49:39 AM,2011,01/04/2011 08:09:23 AM,01/04/2011 08:09:23 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of FERN ST and POLK ST,3,Lower Nob Hill,NORTHERN,37.78822,-122.4202,"(37.788222551169, -122.420210581031)",Voice In,
799572,01/04/2011 07:40:06 AM,2011,01/06/2011 06:09:32 AM,01/06/2011 06:09:32 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"155 HARRIET ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77756,-122.4051,"(37.777555556659, -122.405097295183)",Voice In,
799838,01/04/2011 12:15:39 PM,2011,01/06/2011 06:09:38 AM,01/06/2011 06:09:38 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of OAK ST and OCTAVIA ST,5,Hayes Valley,NORTHERN,37.77483,-122.4241,"(37.774824748193, -122.424136402069)",Voice In,
807431,01/17/2011 10:44:14 AM,2011,01/17/2011 03:09:20 PM,01/17/2011 03:09:20 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of OAK ST and OCTAVIA ST,5,Hayes Valley,NORTHERN,37.77483,-122.4241,"(37.774824748193, -122.424136402069)",Voice In,
808060,01/18/2011 10:31:04 AM,2011,01/19/2011 02:11:02 PM,01/19/2011 02:11:02 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of BRANNAN ST and DORE ST,6,Showplace Square,SOUTHERN,37.76958,-122.4076,"(37.7695861427456, -122.407587561358)",Voice In,
809698,01/20/2011 12:42:55 PM,2011,01/20/2011 03:11:01 PM,01/20/2011 03:11:01 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"101 LOWER TER, SAN FRANCISCO, CA, 94114",8,Buena Vista,PARK,37.76302,-122.4417,"(37.763014130564, -122.44174040911)",Voice In,
811423,01/23/2011 12:16:08 PM,2011,01/23/2011 04:06:03 PM,01/23/2011 04:06:03 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"334 MASON ST, SAN FRANCISCO, CA, 94102",3,Downtown / Union Square,TENDERLOIN,37.78675,-122.4096,"(37.786756407644, -122.409635796465)",Voice In,
811585,01/23/2011 04:49:58 PM,2011,01/25/2011 06:11:06 AM,01/25/2011 06:11:06 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"1339 HAYES ST, SAN FRANCISCO, CA, 94117",5,Panhandle,PARK,37.77478,-122.4385,"(37.774776956326, -122.438491264956)",Voice In,
812114,01/24/2011 12:24:46 PM,2011,02/09/2011 08:06:03 AM,02/09/2011 08:06:03 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of HAWES ST and INNES AVE,10,Hunters Point,BAYVIEW,37.73307,-122.3776,"(37.7330699088152, -122.377648632762)",Voice In,
812160,01/24/2011 01:11:16 PM,2011,01/25/2011 01:11:00 PM,01/25/2011 01:11:00 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"233 CENTRAL AVE, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,PARK,37.77179,-122.4441,"(37.771784206515, -122.444059646548)",Voice In,
812877,01/25/2011 12:28:36 PM,2011,01/28/2011 06:11:05 AM,01/28/2011 06:11:05 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"392 NOE ST, SAN FRANCISCO, CA, 94114",8,Castro,MISSION,37.76275,-122.433,"(37.762752019601, -122.433031575962)",Voice In,
814783,01/27/2011 08:07:17 PM,2011,01/28/2011 06:11:16 AM,01/28/2011 06:11:16 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of MARKET ST and POWELL ST,6,South of Market,TENDERLOIN,37.78456,-122.4073,"(37.7845600181277, -122.407337077679)",Voice In,
815642,01/29/2011 10:11:28 AM,2011,01/29/2011 12:06:02 PM,01/29/2011 12:06:02 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"101 15TH ST, SAN FRANCISCO, CA, 94103",10,Showplace Square,SOUTHERN,37.76677,-122.4021,"(37.766772349013, -122.402094392172)",Voice In,
815669,01/29/2011 10:56:18 AM,2011,01/29/2011 01:06:02 PM,01/29/2011 01:06:02 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of POLK ST and SUTTER ST,3,Lower Nob Hill,NORTHERN,37.78776,-122.4201,"(37.7877565649064, -122.420116153241)",Voice In,
816167,01/30/2011 11:47:16 AM,2011,02/01/2011 02:06:05 PM,02/01/2011 02:06:05 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of 8TH ST and MISSION ST,6,South of Market,SOUTHERN,37.77746,-122.4132,"(37.777457521629, -122.413157758797)",Voice In,
818988,02/03/2011 10:57:50 AM,2011,02/09/2011 08:06:11 AM,02/09/2011 08:06:11 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of HAIGHT ST and LAGUNA ST,5,Mint Hill,NORTHERN,37.77274,-122.4255,"(37.7727344034532, -122.425512161152)",Voice In,
821124,02/07/2011 08:54:41 AM,2011,02/09/2011 08:06:14 AM,02/09/2011 08:06:14 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"934 BRANNAN ST, SAN FRANCISCO, CA, 94103",6,Showplace Square,SOUTHERN,37.77082,-122.4063,"(37.770818290656, -122.406256601556)",Voice In,
821182,02/07/2011 09:57:22 AM,2011,02/10/2011 08:06:02 AM,02/10/2011 08:06:02 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of INNES AVE and MIDDLE POINT RD,10,Hunters Point,BAYVIEW,37.73408,-122.3794,"(37.7340814727744, -122.379430886765)",Voice In,
821985,02/08/2011 09:14:43 AM,2011,02/09/2011 09:06:02 AM,02/09/2011 09:06:02 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of HOWARD ST and WASHBURN ST,6,South of Market,SOUTHERN,37.77466,-122.4136,"(37.7746602506767, -122.41358646289)",Voice In,
823171,02/09/2011 11:10:00 PM,2011,02/10/2011 06:06:06 AM,02/10/2011 06:06:06 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"545 JONES ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78638,-122.4132,"(37.786384151193, -122.413231279187)",Voice In,
824930,02/12/2011 02:53:23 PM,2011,02/12/2011 05:06:03 PM,02/12/2011 05:06:03 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of LEAVENWORTH ST and MCALLISTER ST,6,Civic Center,TENDERLOIN,37.78093,-122.4137,"(37.780926968726, -122.413676291653)",Voice In,
825005,02/12/2011 05:01:04 PM,2011,02/13/2011 06:06:19 AM,02/13/2011 06:06:19 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of STANYAN ST and WALLER ST,5,Golden Gate Park,PARK,37.76825,-122.4534,"(37.7682460594283, -122.453352219014)",Voice In,
825589,02/14/2011 09:01:58 AM,2011,02/18/2011 06:06:02 AM,02/18/2011 06:06:02 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"2030 HARRISON ST, SAN FRANCISCO, CA, 94110",9,Mission,MISSION,37.76442,-122.4133,"(37.764421922184, -122.413304144018)",Voice In,
825894,02/14/2011 02:15:11 PM,2011,02/14/2011 03:06:01 PM,02/14/2011 03:06:01 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of 16TH ST and TREAT AVE,9,Mission,MISSION,37.76545,-122.4131,"(37.7654474943791, -122.413105187419)",Voice In,
829740,02/21/2011 02:50:00 PM,2011,02/21/2011 04:06:02 PM,02/21/2011 04:06:02 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of CHESTNUT ST and VAN NESS AVE,2,,NORTHERN,37.80228,-122.4247,"(37.8022808639374, -122.424731285416)",Voice In,
831855,02/24/2011 02:46:04 PM,2011,02/24/2011 05:06:00 PM,02/24/2011 05:06:00 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of GEARY ST and STOCKTON ST,3,Downtown / Union Square,CENTRAL,37.78757,-122.4066,"(37.7875678758242, -122.406589862039)",Voice In,
832292,02/25/2011 11:32:23 AM,2011,02/26/2011 04:06:06 PM,02/26/2011 04:06:06 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of GEARY ST and STOCKTON ST,3,Downtown / Union Square,CENTRAL,37.78757,-122.4066,"(37.7875678758242, -122.406589862039)",Voice In,
832577,02/25/2011 05:50:09 PM,2011,02/25/2011 07:06:00 PM,02/25/2011 07:06:00 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of FOLSOM ST and HARRIET ST,6,South of Market,SOUTHERN,37.77808,-122.4062,"(37.7780825037493, -122.406150479603)",Voice In,
832698,02/26/2011 08:14:55 AM,2011,02/26/2011 09:06:01 AM,02/26/2011 09:06:01 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"155 HARRIET ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77756,-122.4051,"(37.777555556659, -122.405097295183)",Voice In,
832886,02/26/2011 03:18:28 PM,2011,02/27/2011 06:06:13 AM,02/27/2011 06:06:13 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of 9TH AVE and LINCOLN WAY,5,Inner Sunset,TARAVAL,37.76593,-122.4664,"(37.76592452175, -122.466442338313)",Voice In,
833337,02/27/2011 06:03:51 PM,2011,03/01/2011 12:32:41 PM,03/01/2011 12:32:41 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of SPARROW ST and VALENCIA ST,8,Mission,MISSION,37.76572,-122.422,"(37.7657206316265, -122.421964221595)",Voice In,
